Order,ID,Strain,Family,Sex,Timepoint,Pass,Weight,Dose,Inj. Time,Blood Time,Color,BEC,TIMEHOUR,
57,2.3,iHDID-1,IB504.A,F,120,A,21.1,0.33,01:52:00,03:52:00,White,2.13554,2,
58,50.3,HS/Npt,1541,M,120,A,27.5,0.44,01:54:00,03:54:00,Black,2.24807,2,
59,52.2,HS/Npt,1528,M,120,A,28.8,0.46,01:56:00,03:56:00,Black,2.19452,2,
60,44.1,HS/Npt,1534,F,60,A,20.7,0.32,02:00:00,03:00:00,Black,2.42078,1,
61,46.4,HS/Npt,1510,F,60,A,24.1,0.38,02:02:00,03:02:00,Black,2.78819,1,
62,42.2,HS/Npt,1541,F,60,A,27.4,0.44,02:04:00,03:04:00,Black,2.79248,1,
63,2.2,iHDID-1,IB504.A,F,60,A,21.3,0.34,02:06:00,03:06:00,White,3.12954,1,
64,49.2,HS/Npt,1526,M,60,A,28.7,0.45,02:08:00,03:08:00,Black,2.88568,1,
66,7.4,iHDID-1,IB504.D(2),F,60,A,21.7,0.34,02:12:00,03:12:00,White,3.02254,1,
67,28.2,iHDID-2,IB534B(3),F,60,A,22,0.35,02:14:00,03:14:00,Dilute Brown,2.98733,1,
68,33.1,iHDID-2,IB558,M,60,A,30.6,0.48,02:16:00,03:16:00,Brown,2.9779,1,
69,19.2,iHDID-2,IB534B(2),F,60,A,22.1,0.35,02:18:00,03:18:00,Dilute Brown,2.47217,1,
70,13.2,iHDID-1,IB504.K,M,60,A,26.6,0.42,02:20:00,03:20:00,White,3.14304,1,
71,26.2,iHDID-2,IB553,F,60,A,22.1,0.35,02:22:00,03:22:00,Dilute Brown,2.24166,1,
72,10.4,iHDID-1,IB504.E(2),M,60,A,24.6,0.39,02:24:00,03:24:00,White,3.20872,1,
73,40.1,iHDID-2,IB553,M,60,A,27.3,0.44,02:26:00,03:26:00,Dilute Brown,2.67971,1,
